id	name	expansion	weight
67518	Teferi, Hero of Dominaria	DOM	1,800.00
68665	Tajic, Legion's Edge	GRN	1,800.00
69451	Teferi, Hero of Dominaria	DOM	1,800.00
69620	Nissa, Who Shakes the World	WAR	1,800.00
70294	Torbran, Thane of Red Fell	ELD	1,800.00
71259	Kinnan, Bonder Prodigy	IKO	1,800.00
75185	Magda, Brazen Outlaw	KHM	1,800.00
75215	Fynn, the Fangbearer	KHM	1,800.00
75620	Baral, Chief of Compliance	KLR	1,800.00
76172	Sythis, Harvest's Hand	MH2	1,800.00
78322	Adeline, Resplendent Cathar	MID	1,800.00
78612	Teferi, Who Slows the Sunset	MID	1,800.00
79445	Light-Paws, Emperor's Voice	NEO	1,800.00
80364	Raffine, Scheming Seer	SNC	1,800.00
84191	Rusko, Clockmaker	Y23	1,800.00
85082	Calix, Guided by Fate	MAT	1,800.00
85526	Baral, Chief of Compliance	MUL	1,800.00
85539	Ragavan, Nimble Pilferer	MUL	1,800.00
85544	Fynn, the Fangbearer	MUL	1,800.00
86435	Geist of Saint Traft	SIS	1,800.00
69656	Nicol Bolas, Dragon-God	WAR	1,440.00
69657	Niv-Mizzet Reborn	WAR	1,440.00
69670	Teferi, Time Raveler	WAR	1,440.00
69683	Kiora, Behemoth Beckoner	WAR	1,440.00
70011	Golos, Tireless Pilgrim	M20	1,440.00
70190	Emry, Lurker of the Loch	ELD	1,440.00
70719	Ashiok, Nightmare Muse	THB	1,440.00
70740	Uro, Titan of Nature's Wrath	THB	1,440.00
71248	Chevill, Bane of Monsters	IKO	1,440.00
71283	Winota, Joiner of Forces	IKO	1,440.00
72491	Selvala, Heart of the Wilds	JMP	1,440.00
75212	Esika, God of the Tree	KHM	1,440.00
75265	Kaya the Inexorable	KHM	1,440.00
76597	Galazeth Prismari	STX	1,440.00
77133	Oswald Fiddlebender	AFR	1,440.00
78852	Jacob Hauken, Inspector	VOW	1,440.00
79665	Kaito Shizuki	NEO	1,440.00
81199	A-Teferi, Time Raveler	WAR	1,440.00
81286	Tasha, Unholy Archmage	HBG	1,440.00
82149	Liliana of the Veil	DMU	1,440.00
82159	Sheoldred, the Apocalypse	DMU	1,440.00
82251	Ertai Resurrected	DMU	1,440.00
83474	A-Winota, Joiner of Forces	IKO	1,440.00
83896	Atraxa, Grand Unifier	ONE	1,440.00
85527	Emry, Lurker of the Loch	MUL	1,440.00
85571	Niv-Mizzet Reborn	MUL	1,440.00
87204	Malcolm, Alluring Scoundrel	LCI	1,440.00
14717	Captain Sisay	INV	1,080.00
44125	Griselbrand	AVR	1,080.00
49077	Talrand, Sky Summoner	M13	1,080.00
69313	Judith, the Scourge Diva	RNA	1,080.00
69323	Prime Speaker Vannifar	RNA	1,080.00
69588	Krenko, Tin Street Kingpin	WAR	1,080.00
71192	Lukka, Coppercoat Outcast	IKO	1,080.00
71262	Narset of the Ancient Way	IKO	1,080.00
71457	Yawgmoth, Thran Physician	MH1	1,080.00
72127	Muxus, Goblin Grandee	JMP	1,080.00
72243	Talrand, Sky Summoner	JMP	1,080.00
72401	Krenko, Mob Boss	JMP	1,080.00
73995	Rhonas the Indomitable	AKR	1,080.00
75152	Tergrid, God of Fright	KHM	1,080.00
79061	Halana and Alena, Partners	VOW	1,080.00
79295	Marrow-Gnawer	J21	1,080.00
82248	Balmor, Battlemage Captain	DMU	1,080.00
82255	Jodah, the Unifier	DMU	1,080.00
82619	Feldon, Ronom Excavator	BRO	1,080.00
83904	Kaito, Dancing Shadow	ONE	1,080.00
85563	Judith, the Scourge Diva	MUL	1,080.00
86164	Liliana, the Last Hope	SIR	1,080.00
86644	Griselbrand	SIS	1,080.00
91389	Tajic, Legion's Valor	Y24	1,080.00
66877	Ghalta, Primal Hunger	RIX	720.00
66921	Angrath, the Flame-Chained	RIX	720.00
66975	Zacama, Primal Calamity	RIX	720.00
67484	Adeliz, the Cinder Wind	DOM	720.00
68653	Niv-Mizzet, Parun	GRN	720.00
69641	Domri, Anarch of Bolas	WAR	720.00
69669	Tamiyo, Collector of Tales	WAR	720.00
70140	Ghalta, Primal Hunger	RIX	720.00
70324	Syr Faren, the Hengehammer	ELD	720.00
70332	Yorvo, Lord of Garenbrig	ELD	720.00
70338	Garruk, Cursed Huntsman	ELD	720.00
70529	Heliod, Sun-Crowned	THB	720.00
70587	Thryx, the Sudden Storm	THB	720.00
70728	Gallia of the Endless Dance	THB	720.00
70735	Polukranos, Unchained	THB	720.00
71229	Kogla, the Titan Ape	IKO	720.00
71257	Illuna, Apex of Wishes	IKO	720.00
71955	Azusa, Lost but Seeking	M21	720.00
72115	Inniaz, the Gale Force	JMP	720.00
72461	Ghalta, Primal Hunger	JMP	720.00
75268	Koma, Cosmos Serpent	KHM	720.00
76558	Rowan, Scholar of Sparks	STX	720.00
76605	Killian, Ink Duelist	STX	720.00
77165	Grazilaxx, Illithid Scholar	AFR	720.00
78452	Jadar, Ghoulcaller of Nephalia	MID	720.00
78616	Vadrik, Astral Archmage	MID	720.00
79384	Freyalise, Skyshroud Partisan	J21	720.00
79661	Hinata, Dawn-Crowned	NEO	720.00
79672	Raiyuu, Storm's Edge	NEO	720.00
79674	Satoru Umezawa	NEO	720.00
80165	Giada, Font of Hope	SNC	720.00
81840	Miirym, Sentinel Wyrm	HBG	720.00
82579	Gix, Yawgmoth Praetor	BRO	720.00
83492	A-Rowan, Scholar of Sparks	STX	720.00
83905	Kaya, Intangible Slayer	ONE	720.00
84185	Crucias, Titan of the Waves	Y23	720.00
84411	Etali, Primal Conqueror	MOM	720.00
84522	Hidetsugu and Kairi	MOM	720.00
84907	Merry, Esquire of Rohan	LTR	720.00
84919	Shadowfax, Lord of Horses	LTR	720.00
85532	Horobi, Death's Wail	MUL	720.00
85575	Reyav, Master Smith	MUL	720.00
85637	A-Raiyuu, Storm's Edge	NEO	720.00
87117	A-Satoru Umezawa	NEO	720.00
87383	Anim Pakal, Thousandth Moon	LCI	720.00
88094	Vendilion Clique	A25	720.00
89221	Voja, Jaws of the Conclave	MKM	720.00
90302	Mythweaver Poq	Y24	720.00
46669	Avacyn, Angel of Hope	AVR	360.00
47485	Thalia, Guardian of Thraben	DKA	360.00
50871	Elesh Norn, Grand Cenobite	NPH	360.00
55133	Xenagos, God of Revels	BNG	360.00
58317	Narset, Enlightened Master	KTK	360.00
62335	Kalitas, Traitor of Ghet	OGW	360.00
67156	Lyra Dawnbringer	DOM	360.00
67400	Valduk, Keeper of the Flame	DOM	360.00
67448	Marwyn, the Nurturer	DOM	360.00
67452	Multani, Yavimaya's Avatar	DOM	360.00
67516	Tatyova, Benthic Druid	DOM	360.00
67978	Lathliss, Dragon Queen	M19	360.00
68052	Goreclaw, Terror of Qal Sisma	M19	360.00
68116	Nicol Bolas, the Ravager	M19	360.00
68614	Aurelia, Exemplar of Justice	GRN	360.00
68629	Emmara, Soul of the Accord	GRN	360.00
68674	Vraska, Golgari Queen	GRN	360.00
69450	Vraska, Golgari Queen	GRN	360.00
69512	Narset, Parter of Veils	WAR	360.00
69647	Feather, the Redeemed	WAR	360.00
69660	Ral, Storm Conduit	WAR	360.00
69678	Angrath, Captain of Chaos	WAR	360.00
69682	Kaya, Bane of the Dead	WAR	360.00
69787	Ajani, Strength of the Pride	M20	360.00
69821	Sephara, Sky's Blade	M20	360.00
69900	Sorin, Imperious Bloodlord	M20	360.00
69912	Chandra, Awakened Inferno	M20	360.00
70222	Ayara, First of Locthwain	ELD	360.00
70248	Rankle, Master of Pranks	ELD	360.00
70346	The Royal Scions	ELD	360.00
70582	Thassa, Deep-Dwelling	THB	360.00
70636	Anax, Hardened in the Forge	THB	360.00
70696	Nylea, Keen-Eyed	THB	360.00
70720	Atris, Oracle of Half-Truths	THB	360.00
70722	Calix, Destiny's Hand	THB	360.00
71242	Vivien, Monsters' Advocate	IKO	360.00
71299	Yorion, Sky Nomad	IKO	360.00
71496	Ayula, Queen Among Bears	MH1	360.00
71541	The First Sliver	MH1	360.00
71789	Basri Ket	M21	360.00
71890	Liliana, Waker of the Dead	M21	360.00
72120	Tinybones, Trinket Thief	JMP	360.00
72175	Isamaru, Hound of Konda	JMP	360.00
72287	Drana, Liberator of Malakir	JMP	360.00
72402	Lathliss, Dragon Queen	JMP	360.00
73352	Moraug, Fury of Akoum	ZNR	360.00
73385	Ashaya, Soul of the Wild	ZNR	360.00
73438	Linvala, Shield of Sea Gate	ZNR	360.00
73444	Omnath, Locus of Creation	ZNR	360.00
73446	Phylath, World Sculptor	ZNR	360.00
73861	Unesh, Criosphinx Sovereign	AKR	360.00
74051	Nicol Bolas, God-Pharaoh	AKR	360.00
74073	Samut, the Tested	AKR	360.00
75050	Halvar, God of Battle	KHM	360.00
75155	Valki, God of Lies	KHM	360.00
75224	Jorn, God of Winter	KHM	360.00
75245	Tyvar Kell	KHM	360.00
75246	Vorinclex, Monstrous Raider	KHM	360.00
75272	Niko Aris	KHM	360.00
75275	Sarulf, Realm Eater	KHM	360.00
75695	Chandra, Torch of Defiance	KLR	360.00
75771	Dovin Baan	KLR	360.00
76072	Captain Ripley Vance	MH2	360.00
76476	Professor Onyx	STX	360.00
76653	Velomachus Lorehold	STX	360.00
76661	Codie, Vociferous Codex	STX	360.00
77008	Chatterfang, Squirrel General	MH2	360.00
77217	Lolth, Spider Queen	AFR	360.00
77256	Inferno of the Star Mounts	AFR	360.00
77324	Bruenor Battlehammer	AFR	360.00
77328	Gretchen Titchwillow	AFR	360.00
77331	Krydle of Baldur's Gate	AFR	360.00
77339	Targ Nar, Demon-Fang Gnoll	AFR	360.00
78595	Katilda, Dawnhart Prime	MID	360.00
78799	Katilda, Dawnhart Martyr	VOW	360.00
78820	Thalia, Guardian of Thraben	VOW	360.00
78932	Toxrill, the Corrosive	VOW	360.00
79373	Davriel, Soul Broker	J21	360.00
79483	Jin-Gitaxias, Progress Tyrant	NEO	360.00
79635	Kodama of the West Tree	NEO	360.00
79947	Rahilda, Wanted Cutthroat	Y22	360.00
80313	Vivien on the Hunt	SNC	360.00
80344	Jetmir, Nexus of Revels	SNC	360.00
